exp_id,episode,global_timestep,episode_steps,cost,duration
Medicine_pareto_test_20260511T201320,377,4983,10,190.0,230.0
Medicine_pareto_test_20260511T201320,378,4994,11,185.0,190.0
Medicine_pareto_test_20260511T201320,379,5001,7,125.0,140.0
Medicine_pareto_test_20260511T201320,380,5009,8,135.0,155.0
Medicine_pareto_test_20260511T201320,381,5013,4,80.0,110.0
Medicine_pareto_test_20260511T201320,382,5019,6,115.0,125.0
Medicine_pareto_test_20260511T201320,383,5038,19,285.0,270.0
Medicine_pareto_test_20260511T201320,384,5048,10,180.0,130.0
Medicine_pareto_test_20260511T201320,385,5055,7,120.0,185.0
Medicine_pareto_test_20260511T201320,386,5060,5,75.0,90.0
Medicine_pareto_test_20260511T201320,387,5071,11,235.0,130.0
Medicine_pareto_test_20260511T201320,388,5082,11,165.0,150.0
Medicine_pareto_test_20260511T201320,389,5089,7,145.0,130.0
Medicine_pareto_test_20260511T201320,390,5101,12,245.0,145.0
Medicine_pareto_test_20260511T201320,391,5113,12,190.0,200.0
Medicine_pareto_test_20260511T201320,392,5124,11,175.0,230.0
Medicine_pareto_test_20260511T201320,393,5131,7,115.0,110.0
Medicine_pareto_test_20260511T201320,394,5150,19,305.0,450.0
Medicine_pareto_test_20260511T201320,395,5153,3,60.0,65.0
Medicine_pareto_test_20260511T201320,396,5160,7,135.0,100.0
Medicine_pareto_test_20260511T201320,397,5168,8,140.0,230.0
Medicine_pareto_test_20260511T201320,398,5174,6,100.0,140.0
Medicine_pareto_test_20260511T201320,399,5188,14,285.0,185.0
Medicine_pareto_test_20260511T201320,400,5206,18,275.0,305.0
Medicine_pareto_test_20260511T201320,401,5217,11,170.0,225.0
Medicine_pareto_test_20260511T201320,402,5226,9,185.0,150.0
Medicine_pareto_test_20260511T201320,403,5230,4,70.0,80.0
Medicine_pareto_test_20260511T201320,404,5270,40,690.0,710.0
Medicine_pareto_test_20260511T201320,405,5284,14,235.0,245.0
Medicine_pareto_test_20260511T201320,406,5308,24,390.0,430.0
Medicine_pareto_test_20260511T201320,407,5316,8,155.0,145.0
Medicine_pareto_test_20260511T201320,408,5323,7,120.0,115.0
Medicine_pareto_test_20260511T201320,409,5331,8,130.0,150.0
Medicine_pareto_test_20260511T201320,410,5340,9,150.0,125.0
Medicine_pareto_test_20260511T201320,411,5348,8,160.0,100.0
Medicine_pareto_test_20260511T201320,412,5361,13,235.0,170.0
Medicine_pareto_test_20260511T201320,413,5373,12,255.0,175.0
Medicine_pareto_test_20260511T201320,414,5385,12,175.0,235.0
Medicine_pareto_test_20260511T201320,415,5388,3,60.0,65.0
Medicine_pareto_test_20260511T201320,416,5391,3,60.0,65.0
Medicine_pareto_test_20260511T201320,417,5403,12,205.0,235.0
Medicine_pareto_test_20260511T201320,418,5407,4,65.0,75.0
Medicine_pareto_test_20260511T201320,419,5421,14,220.0,190.0
Medicine_pareto_test_20260511T201320,420,5430,9,150.0,245.0
Medicine_pareto_test_20260511T201320,421,5436,6,125.0,85.0
